name,url,stars,description,license,question_issues,help_wanted_issues,community_score,created_at
uNetworking/uWebSockets.js,https://github.com/uNetworking/uWebSockets.js,8297,μWebSockets for Node.js back-ends :metal:,Apache License 2.0,6,9,15,2018-07-27
apple/foundationdb,https://github.com/apple/foundationdb,14818,"FoundationDB - the open source, distributed, transactional key-value store",Apache License 2.0,1,13,14,2017-12-14
ossrs/srs,https://github.com/ossrs/srs,26370,"SRS is a simple, high-efficiency, real-time media server supporting RTMP, WebRTC, HLS, HTTP-FLV, HTTP-TS, SRT, MPEG-DASH, and GB28181.",The MIT License,0,13,13,2015-04-29
google/sentencepiece,https://github.com/google/sentencepiece,10601,Unsupervised text tokenizer for Neural Network-based text generation.,Apache License 2.0,0,10,10,2017-03-07
TheAlgorithms/C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,31254,"Collection of various algorithms in mathematics, machine learning, computer science and physics implemented in C++ for educational purposes.",The MIT License,4,5,9,2016-07-16
ml-explore/mlx,https://github.com/ml-explore/mlx,19143,MLX: An array framework for Apple silicon,The MIT License,8,1,9,2023-11-28
google/flatbuffers,https://github.com/google/flatbuffers,23779,FlatBuffers: Memory Efficient Serialization Library,Apache License 2.0,0,7,7,2014-05-19
nodegui/nodegui,https://github.com/nodegui/nodegui,8993,A library for building cross-platform native desktop applications with Node.js and CSS  🚀.  React NodeGui : https://react.nodegui.org and Vue NodeGui: https://vue.nodegui.org,The MIT License,6,0,6,2019-05-14
swiftlang/swift,https://github.com/swiftlang/swift,68138,The Swift Programming Language,Apache License 2.0,3,2,5,2015-10-23
ggml-org/ggml,https://github.com/ggml-org/ggml,11884,Tensor library for machine learning,The MIT License,2,3,5,2022-09-18
owasp-modsecurity/ModSecurity,https://github.com/owasp-modsecurity/ModSecurity,8532,"ModSecurity is an open source, cross platform web application firewall (WAF) engine for Apache, IIS and Nginx. It has a robust event-based programming language which provides protection from a range of attacks against web applications and allows for HTTP traffic monitoring, logging and real-time analysis.",Apache License 2.0,0,3,3,2011-02-02
microsoft/wslg,https://github.com/microsoft/wslg,10442,Enabling the Windows Subsystem for Linux to include support for Wayland and X server related scenarios,The MIT License,3,0,3,2021-03-11
ggerganov/kbd-audio,https://github.com/ggerganov/kbd-audio,8627,🎤⌨️ Acoustic keyboard eavesdropping,The MIT License,2,0,2,2018-08-27
apache/brpc,https://github.com/apache/brpc,16772,"brpc is an Industrial-grade RPC framework using C++ Language, which is often used in high performance system such as Search, Storage, Machine learning, Advertisement, Recommendation etc. ""brpc"" means ""better RPC"".",Apache License 2.0,0,2,2,2017-09-04
vesoft-inc/nebula,https://github.com/vesoft-inc/nebula,11050,"  A distributed, fast open-source graph database featuring horizontal scalability and high availability",Apache License 2.0,0,2,2,2018-08-28
aristocratos/btop,https://github.com/aristocratos/btop,23030,A monitor of resources,Apache License 2.0,0,1,1,2021-05-06
facebook/folly,https://github.com/facebook/folly,28990,An open-source C++ library developed and used at Facebook.,Apache License 2.0,1,0,1,2012-06-01
google/filament,https://github.com/google/filament,18140,"Filament is a real-time physically based rendering engine for Android, iOS, Windows, Linux, macOS, and WebGL2",Apache License 2.0,0,1,1,2018-08-03
scylladb/seastar,https://github.com/scylladb/seastar,8538,High performance server-side application framework,Apache License 2.0,0,1,1,2014-08-18
google/guetzli,https://github.com/google/guetzli,12929,Perceptual JPEG encoder,Apache License 2.0,1,0,1,2016-10-21
hoffstadt/DearPyGui,https://github.com/hoffstadt/DearPyGui,13735,Dear PyGui: A fast and powerful Graphical User Interface Toolkit for Python with minimal dependencies,The MIT License,0,1,1,2020-05-28
ApolloAuto/apollo,https://github.com/ApolloAuto/apollo,25507,An open autonomous driving platform,Apache License 2.0,0,0,0,2017-07-04
bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,82066,Bitcoin Core integration/staging tree,The MIT License,0,0,0,2010-12-19
godotengine/godot,https://github.com/godotengine/godot,94094,Godot Engine – Multi-platform 2D and 3D game engine,The MIT License,0,0,0,2014-01-04
nlohmann/json,https://github.com/nlohmann/json,44446,JSON for Modern C++,The MIT License,0,0,0,2013-07-04
opencv/opencv,https://github.com/opencv/opencv,80623,Open Source Computer Vision Library,Apache License 2.0,0,0,0,2012-07-19
grpc/grpc,https://github.com/grpc/grpc,42462,"The C based gRPC (C++, Python, Ruby, Objective-C, PHP, C#)",Apache License 2.0,0,0,0,2014-12-08
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,188089,An Open Source Machine Learning Framework for Everyone,Apache License 2.0,0,0,0,2015-11-07
facebook/react-native,https://github.com/facebook/react-native,120622,A framework for building native applications using React,The MIT License,0,0,0,2015-01-09
electron/electron,https://github.com/electron/electron,115513,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS",The MIT License,0,0,0,2013-04-12
apache/mxnet,https://github.com/apache/mxnet,20787,"Lightweight, Portable, Flexible Distributed/Mobile Deep Learning with Dynamic, Mutation-aware Dataflow Dep Scheduler; for Python, R, Julia, Scala, Go, Javascript and more",Apache License 2.0,0,0,0,2015-04-30
barry-ran/QtScrcpy,https://github.com/barry-ran/QtScrcpy,22623,Android real-time display control software,Apache License 2.0,0,0,0,2019-06-23
