name,url,stars,description,license,question_issues,help_wanted_issues,community_score,created_at
microsoft/Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,85060,"24 Lessons, 12 Weeks, Get Started as a Web Developer",The MIT License,2,1,3,2020-11-10
sveltejs/svelte,https://github.com/sveltejs/svelte,81426,web development for the rest of us,The MIT License,0,2,2,2016-11-20
layui/layui,https://github.com/layui/layui,29965,一套遵循原生态开发模式的 Web UI 组件库，采用自身轻量级模块化规范，易上手，可以更简单快速地构建网页界面。,The MIT License,0,2,2,2015-09-22
jquery/jquery,https://github.com/jquery/jquery,59399,jQuery JavaScript Library,The MIT License,0,1,1,2009-04-03
jaywcjlove/awesome-mac,https://github.com/jaywcjlove/awesome-mac,79714," Now we have become very big, Different from the original idea. Collect premium software in various categories.",Creative Commons 1.0 Universal,0,1,1,2016-07-17
YMFE/yapi,https://github.com/YMFE/yapi,27497,YApi 是一个可本地部署的、打通前后端及QA的、可视化的接口管理平台,Apache License 2.0,0,1,1,2016-05-30
airbnb/lottie-web,https://github.com/airbnb/lottie-web,30880,"Render After Effects animations natively on Web, Android and iOS, and React Native. http://airbnb.io/lottie/",The MIT License,0,1,1,2015-02-20
goabstract/Awesome-Design-Tools,https://github.com/goabstract/Awesome-Design-Tools,34965,The best design tools and plugins for everything 👉,The MIT License,0,1,1,2019-02-12
chinese-poetry/chinese-poetry,https://github.com/chinese-poetry/chinese-poetry,48701,"The most comprehensive database of Chinese poetry 🧶最全中华古诗词数据库,  唐宋两朝近一万四千古诗人,  接近5.5万首唐诗加26万宋诗.  两宋时期1564位词人，21050首词。",The MIT License,0,0,0,2016-09-02
mozilla/pdf.js,https://github.com/mozilla/pdf.js,49749,PDF Reader in JavaScript,Apache License 2.0,0,0,0,2011-04-26
Semantic-Org/Semantic-UI,https://github.com/Semantic-Org/Semantic-UI,51148,Semantic is a UI component framework based around useful principles from natural language.,The MIT License,0,0,0,2013-04-08
marktext/marktext,https://github.com/marktext/marktext,48556,"📝A simple and elegant markdown editor, available for Linux, macOS and Windows.",The MIT License,0,0,0,2017-11-12
adam-p/markdown-here,https://github.com/adam-p/markdown-here,59801,"Google Chrome, Firefox, and Thunderbird extension that lets you write email in Markdown and render it before sending.",The MIT License,0,0,0,2012-05-13
vercel/next.js,https://github.com/vercel/next.js,129471,The React Framework,The MIT License,0,0,0,2016-10-05
leonardomso/33-js-concepts,https://github.com/leonardomso/33-js-concepts,64665,📜 33 JavaScript concepts every developer should know.,The MIT License,0,0,0,2018-09-04
facebook/create-react-app,https://github.com/facebook/create-react-app,103111,Set up a modern web app by running one command.,The MIT License,0,0,0,2016-07-17
axios/axios,https://github.com/axios/axios,106349,Promise based HTTP client for the browser and node.js,The MIT License,0,0,0,2014-08-18
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,190146,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,The MIT License,0,0,0,2018-03-24
facebook/react,https://github.com/facebook/react,232377,The library for web and native user interfaces.,The MIT License,0,0,0,2013-05-24
angular/angular.js,https://github.com/angular/angular.js,58770,AngularJS - HTML enhanced for web apps!,The MIT License,0,0,0,2010-01-06
google/zx,https://github.com/google/zx,43598,A tool for writing better scripts,Apache License 2.0,0,0,0,2021-05-05
LeCoupa/awesome-cheatsheets,https://github.com/LeCoupa/awesome-cheatsheets,41643,"👩‍💻👨‍💻 Awesome cheatsheets for popular programming languages, frameworks and development tools. They include everything you should know in one single file.",The MIT License,0,0,0,2017-11-09
agalwood/Motrix,https://github.com/agalwood/Motrix,46697,A full-featured download manager.,The MIT License,0,0,0,2018-12-18
pcottle/learnGitBranching,https://github.com/pcottle/learnGitBranching,31084,An interactive git visualization and tutorial. Aspiring students of git can use this app to educate and challenge themselves towards mastery of git!,The MIT License,0,0,0,2012-08-13
qishibo/AnotherRedisDesktopManager,https://github.com/qishibo/AnotherRedisDesktopManager,31549,"🚀🚀🚀A faster, better and more stable Redis desktop manager [GUI client], compatible with Linux, Windows, Mac.",The MIT License,0,0,0,2019-01-08
ryanhanwu/How-To-Ask-Questions-The-Smart-Way,https://github.com/ryanhanwu/How-To-Ask-Questions-The-Smart-Way,31921,本文原文由知名 Hacker Eric S. Raymond 所撰寫，教你如何正確的提出技術問題並獲得你滿意的答案。,The MIT License,0,0,0,2015-03-28
phaserjs/phaser,https://github.com/phaserjs/phaser,37565,"Phaser is a fun, free and fast 2D game framework for making HTML5 games for desktop and mobile web browsers, supporting Canvas and WebGL rendering.",The MIT License,0,0,0,2013-04-12
Kong/insomnia,https://github.com/Kong/insomnia,35677,"The open-source, cross-platform API client for GraphQL, REST, WebSockets, SSE and gRPC. With Cloud, Local and Git storage.",Apache License 2.0,0,0,0,2016-04-23
algorithm-visualizer/algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer,47145,:fireworks:Interactive Online Platform that Visualizes Algorithms from Code,The MIT License,0,0,0,2016-05-15
parcel-bundler/parcel,https://github.com/parcel-bundler/parcel,43661,The zero configuration build tool for the web. 📦🚀,The MIT License,0,0,0,2017-08-07
sudheerj/reactjs-interview-questions,https://github.com/sudheerj/reactjs-interview-questions,41042,List of top 500 ReactJS Interview Questions & Answers....Coding exercise questions are coming soon!!,The MIT License,0,0,0,2018-05-31
poteto/hiring-without-whiteboards,https://github.com/poteto/hiring-without-whiteboards,47416,⭐️  Companies that don't have a broken hiring process,The MIT License,0,0,0,2017-03-15
AMAI-GmbH/AI-Expert-Roadmap,https://github.com/AMAI-GmbH/AI-Expert-Roadmap,29543,Roadmap to becoming an Artificial Intelligence Expert in 2022,The MIT License,0,0,0,2020-10-24
VincentGarreau/particles.js,https://github.com/VincentGarreau/particles.js,29332,A lightweight JavaScript library for creating particles,The MIT License,0,0,0,2014-09-06
kenwheeler/slick,https://github.com/kenwheeler/slick,28596,the last carousel you'll ever need,The MIT License,0,0,0,2014-03-24
jamiebuilds/the-super-tiny-compiler,https://github.com/jamiebuilds/the-super-tiny-compiler,28113,:snowman: Possibly the smallest compiler ever,Creative Commons Attribution 4.0 International,0,0,0,2016-03-11
tj/commander.js,https://github.com/tj/commander.js,27051,node.js command-line interfaces made easy,The MIT License,0,0,0,2011-08-14
codemirror/codemirror5,https://github.com/codemirror/codemirror5,26950,"In-browser code editor (version 5, legacy)",The MIT License,0,0,0,2011-01-14
swagger-api/swagger-ui,https://github.com/swagger-api/swagger-ui,26931,"Swagger UI is a collection of HTML, JavaScript, and CSS assets that dynamically generate beautiful documentation from a Swagger-compliant API.",Apache License 2.0,0,0,0,2011-07-15
