name,url,stars,description,license,question_issues,help_wanted_issues,community_score,created_at
Stirling-Tools/Stirling-PDF,https://github.com/Stirling-Tools/Stirling-PDF,50965,#1 Locally hosted web application that allows you to perform various operations on PDF files,The MIT License,37,0,37,2023-01-27
mockito/mockito,https://github.com/mockito/mockito,15027,Most popular Mocking framework for unit tests written in Java,The MIT License,36,0,36,2012-10-13
mybatis/mybatis-3,https://github.com/mybatis/mybatis-3,19951,MyBatis SQL mapper framework for Java,Apache License 2.0,31,0,31,2013-02-14
apolloconfig/apollo,https://github.com/apolloconfig/apollo,29330,Apollo is a reliable configuration management system suitable for microservice configuration management scenarios.,Apache License 2.0,0,30,30,2016-03-04
skylot/jadx,https://github.com/skylot/jadx,42864,Dex to Java decompiler,Apache License 2.0,27,0,27,2013-03-18
xkcoding/spring-boot-demo,https://github.com/xkcoding/spring-boot-demo,33384,🚀一个用来深入学习并实战 Spring Boot 的项目。,The MIT License,24,0,24,2017-11-10
crossoverJie/JCSprout,https://github.com/crossoverJie/JCSprout,27095,"👨‍🎓 Java Core Sprout : basic, concurrent, algorithm ",The MIT License,24,0,24,2017-12-17
TheAlgorithms/Java,https://github.com/TheAlgorithms/Java,60874,All Algorithms implemented in Java,The MIT License,2,18,20,2016-07-16
airbnb/lottie-android,https://github.com/airbnb/lottie-android,35195,"Render After Effects animations natively on Android and iOS, Web, and React Native",Apache License 2.0,0,15,15,2016-10-06
LMAX-Exchange/disruptor,https://github.com/LMAX-Exchange/disruptor,17627,High Performance Inter-Thread Messaging Library,Apache License 2.0,15,0,15,2012-09-21
