name,url,stars,description,license,question_issues,help_wanted_issues,community_score,created_at
EduardoPires/EquinoxProject,https://github.com/EduardoPires/EquinoxProject,6477,"Web Application ASP.NET 8 using Clean Architecture, DDD, CQRS, Event Sourcing and a lot of good practices",The MIT License,54,1,55,2016-12-14
microsoft/semantic-kernel,https://github.com/microsoft/semantic-kernel,23138,Integrate cutting-edge LLM technology quickly and easily into your apps,The MIT License,54,0,54,2023-02-27
dotnet/yarp,https://github.com/dotnet/yarp,8801,A toolkit for developing high-performance HTTP reverse proxy applications.,The MIT License,0,53,53,2020-03-05
microsoft/garnet,https://github.com/microsoft/garnet,10809,"Garnet is a remote cache-store from Microsoft Research that offers strong performance (throughput and latency), scalability, storage, recovery, cluster sharding, key migration, and replication features. Garnet can work with existing Redis clients.",The MIT License,31,18,49,2023-08-21
elsa-workflows/elsa-core,https://github.com/elsa-workflows/elsa-core,6831,A .NET workflows library,The MIT License,27,21,48,2018-10-01
gui-cs/Terminal.Gui,https://github.com/gui-cs/Terminal.Gui,9910,Cross Platform Terminal UI toolkit for .NET,The MIT License,41,7,48,2017-12-11
mob-sakai/UIEffect,https://github.com/mob-sakai/UIEffect,6048,"UIEffect is an open-source package that allows you to intuitively apply rich UI effects directly from the Inspector or via code. Combine various filters, such as grayscale, blur, and dissolve, to decorate your UI with a unique visual style!",The MIT License,43,2,45,2017-02-27
icsharpcode/ILSpy,https://github.com/icsharpcode/ILSpy,22319,".NET Decompiler with support for PDB generation, ReadyToRun, Metadata (&more) - cross-platform!",The MIT License,0,39,39,2011-02-04
ardalis/CleanArchitecture,https://github.com/ardalis/CleanArchitecture,16744,Clean Architecture Solution Template: A starting point for Clean Architecture with ASP.NET Core,The MIT License,16,20,36,2016-09-30
MathewSachin/Captura,https://github.com/MathewSachin/Captura,10021,"Capture Screen, Audio, Cursor, Mouse Clicks and Keystrokes",The MIT License,31,4,35,2015-08-29
Tyrrrz/YoutubeDownloader,https://github.com/Tyrrrz/YoutubeDownloader,10374,Downloads videos and playlists from YouTube,The MIT License,22,10,32,2018-11-16
btcpayserver/btcpayserver,https://github.com/btcpayserver/btcpayserver,6613,"Accept Bitcoin payments. Free, open-source & self-hosted, Bitcoin payment processor. ",The MIT License,22,0,22,2017-08-18
louthy/language-ext,https://github.com/louthy/language-ext,6663,C# pure functional programming framework - come and get declarative!,The MIT License,13,9,22,2014-11-16
dotnet-architecture/eShopOnWeb,https://github.com/dotnet-architecture/eShopOnWeb,10324,"Sample ASP.NET Core 8.0 reference application, now community supported: https://github.com/NimblePros/eShopOnWeb",The MIT License,11,10,21,2017-02-28
FluentValidation/FluentValidation,https://github.com/FluentValidation/FluentValidation,9239,A popular .NET validation library for building strongly-typed validation rules.,Apache License 2.0,0,19,19,2009-12-20
restsharp/RestSharp,https://github.com/restsharp/RestSharp,9688,Simple REST and HTTP API Client for .NET,Apache License 2.0,0,11,11,2009-11-16
gibbed/SteamAchievementManager,https://github.com/gibbed/SteamAchievementManager,6160,A manager for game achievements in Steam.,Zlib/libpng License,11,0,11,2017-11-08
Klocman/Bulk-Crap-Uninstaller,https://github.com/Klocman/Bulk-Crap-Uninstaller,13637,Remove large amounts of unwanted applications quickly.,Apache License 2.0,6,4,10,2016-08-01
DevToys-app/DevToys,https://github.com/DevToys-app/DevToys,28026,A Swiss Army knife for developers.,The MIT License,0,9,9,2021-09-29
