name,url,stars,description,license,question_issues,help_wanted_issues,total_issues,community_score,created_at
awslabs/s3-tables-catalog,https://github.com/awslabs/s3-tables-catalog,97,"The Amazon S3 Tables catalog is a client library that bridges control plane operations provided by S3 Tables to engines like Apache Spark, Flink and others, when used with the Iceberg Table format",Apache License 2.0,0,0,10,0,2024-10-21
ximatai/MuYun,https://github.com/ximatai/MuYun,212,一个云原生、开发者优先、前后端分离、按需插拔的轻代码平台。,Apache License 2.0,0,0,9,0,2024-07-18
TPIsoftwareOSPO/digiRunner-Open-Source,https://github.com/TPIsoftwareOSPO/digiRunner-Open-Source,149,digiRunner: Your API Gateway for Microservices,Apache License 2.0,0,0,9,0,2024-09-30
adi961/mib2-android-auto-vc,https://github.com/adi961/mib2-android-auto-vc,53,:iphone: Show navigation directions and current track info from android auto in the VW Virtual Cluster,The MIT License,0,0,9,0,2024-08-14
woheller69/whisperIME,https://github.com/woheller69/whisperIME,118,Android Input Method Editor (IME) based on Whisper,The MIT License,0,0,8,0,2024-12-30
J-Libraries/numJ,https://github.com/J-Libraries/numJ,21,Java library to fulfil the requirement of numpy in java,Apache License 2.0,0,0,7,0,2024-10-05
jarvis2f/telegram-files,https://github.com/jarvis2f/telegram-files,579,"A self-hosted Telegram file downloader for continuous, stable, and unattended downloads.",The MIT License,0,0,6,0,2024-12-21
zziger/obs-overlay,https://github.com/zziger/obs-overlay,66,Minecraft mod to hide HUD components from OBS stream,The MIT License,0,0,6,0,2024-07-18
jtaccuino/jtaccuino,https://github.com/jtaccuino/jtaccuino,55,,Apache License 2.0,0,0,6,0,2024-10-07
modelcontextprotocol/java-sdk,https://github.com/modelcontextprotocol/java-sdk,37,The official Java SDK for Model Context Protocol servers and clients. Maintained in collaboration with Spring AI,The MIT License,0,0,6,0,2025-01-20
zilliztech/vts,https://github.com/zilliztech/vts,26,VTS is a tool designed for the transformation and transportation of vectors and unstructured data.,Apache License 2.0,0,0,6,0,2024-07-22
HMYDK/AIGitCommit,https://github.com/HMYDK/AIGitCommit,25,This plugin uses AI to automatically generate commit messages based on the changes in your code.,Apache License 2.0,0,0,6,0,2024-07-13
kakao-tech-campus-2nd-step3/Team10_BE,https://github.com/kakao-tech-campus-2nd-step3/Team10_BE,25,[카테캠 2기] 농산물로 지역을 잇는 플랫폼 “품앗이” 의 백엔드 서버,The MIT License,0,0,6,0,2024-08-30
tommy811/jCat,https://github.com/tommy811/jCat,232,java development Console,Apache License 2.0,0,0,5,0,2024-08-04
DragonKingpin/Hydra,https://github.com/DragonKingpin/Hydra,153,Hydra九头龙，保姆级为您打造属于您的造跨平台TB-PB级别专属搜索引擎、专属上帝之眼。Hydra-面向云计算、多任务调度、服务通信、数仓、微服务化、抽象化分布式操作系统——以实现小型爬虫搜索引擎为例。,The MIT License,0,0,5,0,2024-07-10
spring-projects-experimental/spring-ai-mcp,https://github.com/spring-projects-experimental/spring-ai-mcp,86,"Java SDK for the Model Context Protocol (MCP), providing seamless integration between Java and Spring applications and MCP-compliant AI models and tools.",Apache License 2.0,0,0,5,0,2024-12-06
anwenmp/MongoPlus,https://github.com/anwenmp/MongoPlus,44,🔥🔥🔥使用MyBatisPlus的方式，优雅的操作MongoDB,Apache License 2.0,0,0,5,0,2024-07-30
cibseven/cibseven,https://github.com/cibseven/cibseven,42,CIB seven main source code repository,Apache License 2.0,0,0,5,0,2024-10-22
Tutorials-By-Kaupenjoe/Fabric-Tutorial-1.21.X,https://github.com/Tutorials-By-Kaupenjoe/Fabric-Tutorial-1.21.X,38,Official Repository of Kaupenjoe's Fabric Modding Tutorials for Minecraft 1.21.X,The MIT License,0,0,5,0,2024-08-05
Endalion/trackwork,https://github.com/Endalion/trackwork,28,A Minecraft VS2 Create Automotive addon,The MIT License,0,0,5,0,2024-07-05
ssquadteam/ApiaryProxy,https://github.com/ssquadteam/ApiaryProxy,28,Modernized Velocity Fork for Ease of use and high performance.,The MIT License,0,0,5,0,2024-09-16
jtang613/GhidrAssist,https://github.com/jtang613/GhidrAssist,151,An LLM extension for Ghidra to enable AI assistance in RE.,The MIT License,0,0,4,0,2024-09-25
sivaprasadreddy/spring-modular-monolith,https://github.com/sivaprasadreddy/spring-modular-monolith,60,A modular monolith application built with Spring Modulith,Apache License 2.0,0,0,4,0,2024-08-26
coinbase-samples/advanced-sdk-java,https://github.com/coinbase-samples/advanced-sdk-java,32,About Sample Java SDK for the Coinbase Advanced APIs,Apache License 2.0,0,0,4,0,2024-08-14
louie-velarde/DevQS,https://github.com/louie-velarde/DevQS,24,Quick Settings tiles for developers,The MIT License,0,0,4,0,2024-09-04
GuyApooye/ClockworkAdditions,https://github.com/GuyApooye/ClockworkAdditions,21,Additions for VS Clockwork,The MIT License,0,0,4,0,2024-07-28
AIDC-AI/ali-langengine,https://github.com/AIDC-AI/ali-langengine,213,Alibaba LangEngine is an AI application development framework written in Java.,Apache License 2.0,0,0,3,0,2024-11-08
syncliteio/SyncLite,https://github.com/syncliteio/SyncLite,149,SyncLite : Build Anything Sync Anywhere,Apache License 2.0,0,0,3,0,2024-08-22
Yohann0617/oci-helper,https://github.com/Yohann0617/oci-helper,96,一个基于 Oracle OCI SDK 🐢 开发的 web 端可视化甲骨文云助手，目前实现的功能有：批量添加多个租户配置、更改实例配置以及引导卷配置、附加ipv6、根据多个 CIDR 网段更换实例公共IP、多租户同时批量抢机、断点续抢、备份恢复、日志实时查看、消息通知、MFA登录验证等功能。,Creative Commons 1.0 Universal,0,0,3,0,2024-11-01
Sigma-Skidder-Team/SigmaRemap,https://github.com/Sigma-Skidder-Team/SigmaRemap,69,Sigma 5 remapping project,The MIT License,0,0,3,0,2024-07-25
Jasmine2008xyz/Camellia,https://github.com/Jasmine2008xyz/Camellia,64,为了扩展QQ功能的Xposed模块,The MIT License,0,0,3,0,2024-08-19
