name,url,stars,description,license,question_issues,help_wanted_issues,total_issues,community_score,created_at
microsoft/jbpf,https://github.com/microsoft/jbpf,26,Userspace eBPF instrumentation and control framework for deploying control and monitoring functions in a secure manner,The MIT License,0,0,8,0,2024-09-10
NaejEL/Klaus,https://github.com/NaejEL/Klaus,15,Firmware for the Lilygo T-Embed CC1101 based on ESP-IDF,The MIT License,0,0,8,0,2024-10-23
exploits-forsale/collateral-damage,https://github.com/exploits-forsale/collateral-damage,437,Kernel exploit for Xbox SystemOS using CVE-2024-30088,The MIT License,0,0,7,0,2024-07-15
yellow-footed-honeyguide/facad,https://github.com/yellow-footed-honeyguide/facad,416,"A modern, colorful ls alternative for bringing clarity to the filesystem ☀️",The MIT License,0,0,7,0,2024-07-29
MrForExample/Comfy3D_Pre_Builds,https://github.com/MrForExample/Comfy3D_Pre_Builds,36,All the pre built dependencies for Comfy3D for all supported platforms,The MIT License,0,0,7,0,2024-07-06
bareboat-necessities/bbn-wave-period-esp32,https://github.com/bareboat-necessities/bbn-wave-period-esp32,27,Estimate ocean wave height (or vessel heave) and period from vertical acceleration using IMU on esp32,The MIT License,0,0,7,0,2024-08-24
aspl-lang/aspl,https://github.com/aspl-lang/aspl,24,✔️ ASPL is a simple yet powerful modern cross-platform programming language ,The MIT License,0,0,7,0,2024-07-07
konrad-gajdus/miniMNIST-c,https://github.com/konrad-gajdus/miniMNIST-c,1223,,The MIT License,0,0,6,0,2024-09-15
tsoding/coroutines,https://github.com/tsoding/coroutines,189,Custom coroutines implementation in GNU C,The MIT License,0,0,6,0,2025-01-12
tamtaasatiani/tahmlib,https://github.com/tamtaasatiani/tahmlib,109,Library for Game Development with C++,The MIT License,0,0,6,0,2024-08-27
vladelaina/Catime,https://github.com/vladelaina/Catime,62,A very useful timer (Pomodoro Clock).[一款非常好用的计时器(🍅番茄时钟)],Apache License 2.0,0,0,6,0,2025-01-28
raspberrypi/FreeRTOS-Kernel,https://github.com/raspberrypi/FreeRTOS-Kernel,28,,The MIT License,0,0,6,0,2024-08-05
junhkang/kor_search,https://github.com/junhkang/kor_search,21,"PostgreSQL용 한국어 텍스트 검색 확장. LIKE 및 tsvector 기반 검색을 지원하며, 단어 변환 테이블을 사용하여 키워드로 유사어를 검색합니다.",The MIT License,0,0,6,0,2024-08-05
iamfaraz/Waveshare_ST7262_LVGL,https://github.com/iamfaraz/Waveshare_ST7262_LVGL,19,Waveshare_ST7262_LVGL is an Arduino library designed for Waveshare ESP32-S3 SOC with 7 inch ST7262 LCD and GT911 touchscreen to facilitate rapid GUI development using LVGL.,Apache License 2.0,0,0,6,0,2024-08-08
Swung0x48/TriangleBin,https://github.com/Swung0x48/TriangleBin,332,,The MIT License,0,0,5,0,2025-01-02
open-vela/nuttx,https://github.com/open-vela/nuttx,115,"Apache NuttX is a mature, real-time embedded operating system (RTOS).",Apache License 2.0,0,0,5,0,2024-11-25
Hades2001/AMSPlusCore,https://github.com/Hades2001/AMSPlusCore,106,an AMS core board,The MIT License,0,0,5,0,2024-12-09
wgslfuzz/darthshader,https://github.com/wgslfuzz/darthshader,34,,Apache License 2.0,0,0,5,0,2024-08-07
vlang/raylib,https://github.com/vlang/raylib,33,"Up-to-date, auto-generated Raylib (and Raymath) bindings for V",The MIT License,0,0,5,0,2024-11-26
lazer-crypto/lazer,https://github.com/lazer-crypto/lazer,32,,The MIT License,0,0,5,0,2024-09-04
urob/zmk-leader-key,https://github.com/urob/zmk-leader-key,20,A ZMK module adding a leader-key behavior,The MIT License,0,0,5,0,2024-11-25
IonelPopJara/vumz,https://github.com/IonelPopJara/vumz,15,A simple CLI VU meter using ncurses and pipewire,The MIT License,0,0,5,0,2024-07-10
